ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2014,11,18,CNTRL,KUB,12,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,16,35,60
7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1
7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100,122,120
7,2014,12,7,CNTRL,SAN,3351,MS,8,LB,LB,SAN,US,SAN,SAN,US,SAN,48,24,42
7,2014,12,17,CNTRL,HKG,8102,55GX,10,LB,KG,HOU,US,HOU,HKG,HK,HKG,78,140,120
7,2014,12,17,CNTRL,HOU,7,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14
7,2014,12,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,11,11,14
7,2014,12,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2014,12,17,CNTRL,SFO,13,MS,2,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5
7,2014,12,17,CNTRL,SFO,31,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5
7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,30,51
7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,30,56
7,2014,12,18,CNTRL,CKG,5,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,6,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,16,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,44,60
7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,60,44,100
7,2014,12,18,CNTRL,CKG,62,94KZ,20,KG,KG,LAS,US,LAS,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,CKG,62,94KZ,20,KG,KG,LAS,US,LAS,CKG,CN,CKG,100,43,120
7,2014,12,18,CNTRL,CKG,76,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,44,120
7,2014,12,18,CNTRL,CKG,211,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,1,1,1
7,2014,12,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,21,27,30
7,2014,12,18,CNTRL,KUB,5,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56
7,2014,12,18,CNTRL,KUB,911,94KZ,300,KG,KG,ATL,US,ATL,KUB,CN,KUB,1,1,1
7,2014,12,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1
7,2014,12,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100,122,120
7,2015,1,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12
7,2015,1,3,CNTRL,SJU,3754,MS,7,LB,LB,MEM,US,MEM,SJU,US,SJU,42,50,48
7,2015,1,3,CNTRL,SJU,18867,MS,23,LB,LB,SDF,US,SDF,SJU,US,SJU,40.5,43.9,46
7,2015,1,7,CNTRL,SEA,243,MS,1,LB,LB,MSP,US,MSP,SEA,US,SEA,40,28,24
7,2015,1,17,CNTRL,HOU,2,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,8,1,12
7,2015,1,17,CNTRL,SFO,2,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5
7,2015,1,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5
7,2015,1,17,CNTRL,SFO,7,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5
7,2015,1,17,CNTRL,SIN,1,ECN,1,KG,KG,YYZ,CA,YYZ,SIN,SG,SIN,22,12,41
7,2015,1,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,56
7,2015,1,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,1,18,CNTRL,KUB,11,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2015,2,3,CNTRL,MEM,36074,MS,56,LB,LB,FLL,US,MIA,MEM,US,MEM,43,57,49
7,2015,2,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12
7,2015,2,3,CNTRL,SJU,25657,MS,26,LB,LB,SDF,US,SDF,SJU,US,SJU,40,44.5,46
7,2015,2,17,CNTRL,HOU,18,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20
7,2015,2,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,56
7,2015,2,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,26,49
7,2015,2,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,52
7,2015,2,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60
7,2015,2,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,2,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60
7,2015,2,18,CNTRL,CKG,33,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,2,18,CNTRL,CKG,17637,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1
7,2015,2,18,CNTRL,CKG,17637,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,100,121,120
7,2015,2,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30
7,2015,3,7,CNTRL,SDF,1545,ECN,1,LB,KG,BUD,HU,BUD,SDF,US,SDF,36,28,41
7,2015,3,9,CNTRL,SZX,13965,OFN,588,KG,NULL,EWR,US,EWR,SZX,CN,SZX,0,0,0
7,2015,3,17,CNTRL,HKG,14275,55GX,18,LB,KG,HOU,US,HOU,HKG,HK,HKG,104,103,64
7,2015,3,17,CNTRL,HOU,2,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14
7,2015,3,17,CNTRL,HOU,18,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20
7,2015,3,18,CNTRL,CKG,11,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,3,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,3,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,38,60
7,2015,3,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,3,18,CNTRL,CKG,18,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60
7,2015,3,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,3,18,CNTRL,CKG,68,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,46,120
7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1
7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,92,120
7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,118,120
7,2015,3,18,CNTRL,KUB,4,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,31,51
7,2015,3,18,CNTRL,KUB,20,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2015,3,18,CNTRL,KUB,20,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,50,43,60
7,2015,3,18,CNTRL,KUB,24,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2015,3,18,CNTRL,SHA,2,94KZ,1,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,50,40,100
7,2015,4,3,CNTRL,SJU,25605,MS,24,LB,LB,SDF,US,SDF,SJU,US,SJU,39.5,59.5,48
7,2015,4,4,CNTRL,LEH,90025,OFN,275,KG,NULL,YUL,CA,YUL,LEH,FR,NTE,0,0,0
7,2015,4,5,CNTRL,HKG,4890,ECN,7,LB,KG,ELP,US,ELP,HKG,HK,HKG,109,105,113
7,2015,4,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60
7,2015,4,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60
7,2015,4,18,CNTRL,CKG,34,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,39,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,39,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,47,100
7,2015,4,18,CNTRL,CKG,116,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,116,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,100,75,120
7,2015,4,18,CNTRL,CKG,142,94KZ,50,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,366,94KZ,107,KG,KG,SFO,US,SFO,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,CKG,554,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,4,18,CNTRL,SHA,5,94KZ,2,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,1,1,1
7,2015,5,3,CNTRL,PHL,13918,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,41.4,51,48
7,2015,5,3,CNTRL,PHL,14114,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,42,51,48
7,2015,5,3,CNTRL,PHL,18514,ECN,36,LB,KG,BRU,BE,BRU,PHL,US,PHL,42,51,48
7,2015,5,5,CNTRL,SHE,3000,GT36,5,KG,KG,PEK,CN,PEK,SHE,CN,SHE,40,30,50
7,2015,5,7,CNTRL,PHX,106,3776,1,LB,KG,MIL,IT,MIL,PHX,US,TUS,14,16,19
7,2015,5,9,CNTRL,SGN,14658,OFN,42,KG,NULL,EWR,US,EWR,SGN,VN,SGN,0,0,0
7,2015,5,17,CNTRL,HKG,1,55GX,1,KG,KG,VCP,BR,VCP,HKG,HK,HKG,20,27,30
7,2015,5,17,CNTRL,HKG,221,55GX,1,KG,KG,GDL,MX,GDL,HKG,HK,HKG,118,102,99
7,2015,5,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14
7,2015,5,17,CNTRL,HOU,15,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20
7,2015,5,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYC,CA,YYC,CKG,CN,CKG,1,1,1
7,2015,5,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,29,47
7,2015,5,18,CNTRL,CKG,13,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,46,60
7,2015,5,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,5,18,CNTRL,CKG,66,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,5,18,CNTRL,CKG,919,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,5,18,CNTRL,CKG,919,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,108,120
7,2015,5,18,CNTRL,CKG,2646,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1
7,2015,5,18,CNTRL,KUB,12,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1
7,2015,6,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12
7,2015,6,5,CNTRL,AMS,1778,GT36,22,KG,KG,SDF,US,SDF,AMS,NL,AMS,100,158,120
7,2015,6,5,CNTRL,AMS,2208,GT36,25,KG,KG,SDF,US,SDF,AMS,NL,AMS,100,156,120
7,2015,6,7,CNTRL,BUF,2756,MS,2,LB,LB,SAN,US,SAN,BUF,US,ROC,38,36,38
7,2015,6,7,CNTRL,SAN,187,MS,1,LB,LB,SEA,US,SEA,SAN,US,SAN,40,26,48
7,2015,6,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,29,46
7,2015,6,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47
7,2015,6,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,43,60
7,2015,6,18,CNTRL,CKG,19,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,6,18,CNTRL,CKG,19,94KZ,6,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,6,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,43,100
