Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight
1,8,2015,12,18,CNTRL,CKG,59,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
0,8,2016,1,4,CNTRL,RTM,12812,OFN,84,KG,,SIN,SG,SIN,RTM,NL,AMS,0,0,0,CM,0,0,0
50472.15712,8,2016,1,7,CNTRL,PHX,86,5553,3,LB,KG,VCP,BR,VCP,PHX,US,PHX,14,11,20,IN,35.56,27.94,50.8
15000,8,2016,1,7,CNTRL,YYZ,9,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,30,CM,25,20,30
5161.92516,8,2016,1,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
12705,8,2016,1,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,55,CM,7,33,55
22560,8,2016,1,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47,CM,15,32,47
27225,8,2016,1,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,33,55,CM,15,33,55
1,8,2016,1,18,CNTRL,CKG,13,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,1,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
33036.32102,8,2016,2,17,CNTRL,HOU,4,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
110121.0701,8,2016,2,17,CNTRL,HOU,31,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,20,14,24,IN,50.8,35.56,60.96
5161.92516,8,2016,2,17,CNTRL,SFO,4,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,8,2016,2,18,CNTRL,CKG,8,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
188188,8,2016,2,18,CNTRL,CKG,13,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,47,77,CM,52,47,77
184184,8,2016,2,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,46,77,CM,52,46,77
1,8,2016,2,18,CNTRL,CKG,31,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,2,18,CNTRL,CKG,35,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,2,18,CNTRL,CKG,52,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
528000,8,2016,2,18,CNTRL,CKG,52,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,100,44,120,CM,100,44,120
17010,8,2016,2,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,21,27,30,CM,21,27,30
1435200,8,2016,3,3,CNTRL,HKG,1930,ECN,10,KG,KG,MEX,MX,MEX,HKG,HK,HKG,104,115,120,CM,104,115,120
0,8,2016,3,7,CNTRL,SHA,15030,OFN,32,KG,,TYO,JP,TYO,SHA,CN,SHA,0,0,0,CM,0,0,0
0,8,2016,3,9,CNTRL,DLC,9974,OFN,40,KG,,LAX,US,LAX,DLC,CN,DLC,0,0,0,CM,0,0,0
62926.32576,8,2016,3,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
33036.32102,8,2016,3,17,CNTRL,HOU,7,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
1,8,2016,3,18,CNTRL,CKG,6,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1,CM,1,1,1
22560,8,2016,3,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47,CM,15,32,47
188188,8,2016,3,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,47,77,CM,52,47,77
1,8,2016,3,18,CNTRL,CKG,24,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
184184,8,2016,3,18,CNTRL,CKG,24,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,46,77,CM,52,46,77
184184,8,2016,3,18,CNTRL,CKG,31,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52,46,77,CM,52,46,77
1,8,2016,3,18,CNTRL,CKG,33,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,3,18,CNTRL,CKG,36,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,3,18,CNTRL,CKG,19842,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1452000,8,2016,3,18,CNTRL,CKG,19842,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,100,121,120,CM,100,121,120
1,8,2016,3,18,CNTRL,KUB,49,94KZ,10,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
566336.9318,8,2016,4,7,CNTRL,SEA,320,MS,1,LB,LB,MSP,US,MSP,SEA,US,SEA,40,36,24,IN,101.6,91.44,60.96
62926.32576,8,2016,4,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
65187.74059,8,2016,4,17,CNTRL,HOU,3,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
62926.32576,8,2016,4,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
251705.303,8,2016,4,17,CNTRL,HOU,12,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,24,20,32,IN,60.96,50.8,81.28
251705.303,8,2016,4,17,CNTRL,HOU,13,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,24,20,32,IN,60.96,50.8,81.28
5161.92516,8,2016,4,17,CNTRL,SFO,9,MS,2,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,8,2016,4,18,CNTRL,CKG,4,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
22560,8,2016,4,18,CNTRL,CKG,4,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47,CM,15,32,47
1,8,2016,4,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,4,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,4,18,CNTRL,CKG,146,94KZ,10,LB,KG,POU,US,POU,CKG,CN,CKG,1,1,1,CM,1,1,1
0,8,2016,5,9,CNTRL,BOS,1,OFN,1,KG,,GLA,GB,MAN,BOS,US,BOS,0,0,0,CM,0,0,0
442.450728,8,2016,5,17,CNTRL,ELP,55,MS,2,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,3,3,3,IN,7.62,7.62,7.62
62926.32576,8,2016,5,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
62926.32576,8,2016,5,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
62926.32576,8,2016,5,17,CNTRL,HOU,4,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
110121.0701,8,2016,5,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,20,14,24,IN,50.8,35.56,60.96
13824,8,2016,5,18,CNTRL,CKG,2,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,12,32,36,CM,12,32,36
1,8,2016,5,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
55648,8,2016,5,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,32,47,CM,37,32,47
55648,8,2016,5,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,32,47,CM,37,32,47
1,8,2016,5,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,5,18,CNTRL,CKG,26,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,5,18,CNTRL,CKG,28,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,5,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,5,18,CNTRL,CKG,4211,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
16200,8,2016,5,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20,27,30,CM,20,27,30
1,8,2016,5,18,CNTRL,KUB,30,44CI,10,KG,KG,ATL,US,ATL,KUB,CN,KUB,1,1,1,CM,1,1,1
566336.9318,8,2016,6,7,CNTRL,SEA,320,MS,1,LB,LB,MSP,US,MSP,SEA,US,SEA,40,36,24,IN,101.6,91.44,60.96
442.450728,8,2016,6,17,CNTRL,ELP,333,MS,9,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,3,3,3,IN,7.62,7.62,7.62
10528,8,2016,6,18,CNTRL,CKG,3,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,32,47,CM,7,32,47
24960,8,2016,6,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,52,CM,15,32,52
1,8,2016,6,18,CNTRL,CKG,9,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,6,18,CNTRL,CKG,75,94KZ,30,KG,KG,SLC,US,SLC,CKG,CN,CKG,1,1,1,CM,1,1,1
16200,8,2016,6,18,CNTRL,HKG,1,62GQ,1,KG,KG,YVR,CA,YVR,HKG,HK,HKG,20,27,30,CM,20,27,30
15600,8,2016,6,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20,26,30,CM,20,26,30
0,8,2016,7,9,CNTRL,DLC,10848,OFN,40,KG,,GLA,GB,MAN,DLC,CN,DLC,0,0,0,CM,0,0,0
0,8,2016,7,9,CNTRL,SGN,12781,OFN,42,KG,,LAX,US,LAX,SGN,VN,SGN,0,0,0,CM,0,0,0
110121.0701,8,2016,7,17,CNTRL,HOU,7,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,20,14,24,IN,50.8,35.56,60.96
5161.92516,8,2016,7,17,CNTRL,SFO,7,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,8,2016,7,18,CNTRL,CKG,9,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,7,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,7,18,CNTRL,CKG,41,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
373915,8,2016,7,18,CNTRL,CKG,41,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,83,85,CM,53,83,85
1,8,2016,7,18,CNTRL,CKG,116,44CI,12,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,7,18,CNTRL,CKG,220,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1836000,8,2016,7,18,CNTRL,CKG,220,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,100,153,120,CM,100,153,120
1,8,2016,7,18,CNTRL,CKG,221,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1836000,8,2016,7,18,CNTRL,CKG,221,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,100,153,120,CM,100,153,120
16200,8,2016,7,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,20,27,30,CM,20,27,30
1,8,2016,7,18,CNTRL,KUB,30,94KZ,10,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
0,8,2016,8,9,CNTRL,SGN,12478,OFN,42,KG,,LAX,US,LAX,SGN,VN,SGN,0,0,0,CM,0,0,0
27759.68642,8,2016,8,17,CNTRL,HOU,2,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,11,11,14,IN,27.94,27.94,35.56
33036.32102,8,2016,8,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
65187.74059,8,2016,8,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
10528,8,2016,8,18,CNTRL,CKG,2,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,7,32,47,CM,7,32,47
10528,8,2016,8,18,CNTRL,CKG,3,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,32,47,CM,7,32,47
10528,8,2016,8,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYC,CA,YYC,CKG,CN,CKG,7,32,47,CM,7,32,47
11781,8,2016,8,18,CNTRL,CKG,4,94KZ,1,KG,KG,YHZ,CA,YHZ,CKG,CN,CKG,7,33,51,CM,7,33,51
33088,8,2016,8,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,47,CM,22,32,47
55648,8,2016,8,18,CNTRL,CKG,12,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,32,47,CM,37,32,47
1,8,2016,8,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,8,18,CNTRL,CKG,54,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
337875,8,2016,8,18,CNTRL,CKG,54,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,53,75,85,CM,53,75,85
1,8,2016,8,18,CNTRL,CKG,305,94KZ,130,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
900000,8,2016,8,18,CNTRL,CKG,305,94KZ,130,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,75,120,CM,100,75,120
1248000,8,2016,8,18,CNTRL,CKG,305,94KZ,130,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,104,120,CM,100,104,120
1493280,8,2016,9,4,CNTRL,MTY,10650,ECN,30,KG,KG,RIC,US,RIC,MTY,MX,MTY,122,120,102,CM,122,120,102
15000,8,2016,9,7,CNTRL,YYZ,9,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,30,CM,25,20,30
5161.92516,8,2016,9,17,CNTRL,SFO,7,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
1,8,2016,9,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,9,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,9,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,9,18,CNTRL,CKG,35,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,9,18,CNTRL,CKG,39,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,9,18,CNTRL,CKG,716,94KZ,300,KG,KG,CVG,US,CVG,CKG,CN,CKG,1,1,1,CM,1,1,1
457920,8,2016,9,18,CNTRL,CKG,716,94KZ,300,KG,KG,CVG,US,CVG,CKG,CN,CKG,53,72,120,CM,53,72,120
1224000,8,2016,9,18,CNTRL,CKG,716,94KZ,300,KG,KG,CVG,US,CVG,CKG,CN,CKG,100,102,120,CM,100,102,120
18073,8,2016,10,5,CNTRL,SHA,2,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,31,11,53,CM,31,11,53
22560,8,2016,10,18,CNTRL,CKG,6,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47,CM,15,32,47
1,8,2016,10,18,CNTRL,CKG,10,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
55648,8,2016,10,18,CNTRL,CKG,12,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,32,47,CM,37,32,47
1,8,2016,10,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1258526.515,8,2016,11,3,CNTRL,SJU,23268,MS,26,LB,LB,SDF,US,SDF,SJU,US,SJU,40,48,40,IN,101.6,121.92,101.6
0,8,2016,11,4,CNTRL,RTM,9140,OFN,84,KG,,SIN,SG,SIN,RTM,NL,AMS,0,0,0,CM,0,0,0
15000,8,2016,11,7,CNTRL,YYZ,7,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,30,CM,25,20,30
4424.50728,8,2016,11,17,CNTRL,ELP,2,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,9,3,10,IN,22.86,7.62,25.4
93094.91058,8,2016,11,17,CNTRL,HOU,7,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,19,13,23,IN,48.26,33.02,58.42
22560,8,2016,11,18,CNTRL,CKG,5,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,15,32,47,CM,15,32,47
1,8,2016,11,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,8,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,8,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,30,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,295,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,300,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,CKG,303,44CI,18,KG,KG,ONT,US,ONT,CKG,CN,CKG,1,1,1,CM,1,1,1
17010,8,2016,11,18,CNTRL,HKG,1,62GQ,1,KG,KG,YYZ,CA,YYZ,HKG,HK,HKG,21,27,30,CM,21,27,30
1,8,2016,11,18,CNTRL,KUB,8,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1,8,2016,11,18,CNTRL,NKG,171,44CI,16,KG,KG,ONT,US,ONT,NKG,CN,WUH,1,1,1,CM,1,1,1
1524600,8,2016,11,18,CNTRL,NKG,171,44CI,16,KG,KG,ONT,US,ONT,NKG,CN,WUH,105,120,121,CM,105,120,121
16120,8,2016,12,5,CNTRL,SHA,2,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,31,10,52,CM,31,10,52
39060,8,2016,12,5,CNTRL,SHA,4,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,45,14,62,CM,45,14,62
15000,8,2016,12,7,CNTRL,YYZ,2,MS,1,KG,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,30,CM,25,20,30
56043.75888,8,2016,12,17,CNTRL,ELP,9,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,15,12,19,IN,38.1,30.48,48.26
3244.638672,8,2016,12,17,CNTRL,HOU,1,MS,2,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,9,2,11,IN,22.86,5.08,27.94
1,8,2016,12,18,CNTRL,CKG,5,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1,CM,1,1,1
55648,8,2016,12,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,37,32,47,CM,37,32,47
198750,8,2016,12,18,CNTRL,CKG,24,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,75,53,CM,50,75,53
337875,8,2016,12,18,CNTRL,CKG,46,94KZ,15,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,75,85,CM,53,75,85
337875,8,2016,12,18,CNTRL,CKG,50,94KZ,20,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,75,85,CM,53,75,85
1,8,2016,12,18,CNTRL,CKG,627,94KZ,300,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
792000,8,2016,12,18,CNTRL,CKG,627,94KZ,300,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,100,66,120,CM,100,66,120
1416000,8,2016,12,18,CNTRL,CKG,627,94KZ,300,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,100,118,120,CM,100,118,120
1416000,8,2016,12,18,CNTRL,CKG,628,94KZ,300,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,100,118,120,CM,100,118,120
1,8,2016,12,18,CNTRL,CKG,657,94KZ,300,KG,KG,SAC,US,SAC,CKG,CN,CKG,1,1,1,CM,1,1,1
457920,8,2016,12,18,CNTRL,CKG,657,94KZ,300,KG,KG,SAC,US,SAC,CKG,CN,CKG,53,72,120,CM,53,72,120
1248000,8,2016,12,18,CNTRL,CKG,657,94KZ,300,KG,KG,SAC,US,SAC,CKG,CN,CKG,100,104,120,CM,100,104,120
1,8,2016,12,18,CNTRL,KUB,903,44CI,300,KG,KG,CMH,US,CMH,KUB,CN,KUB,1,1,1,CM,1,1,1
15500,8,2017,1,7,CNTRL,YYZ,2,MS,1,KG,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,31,CM,25,20,31
58993.4304,8,2017,1,17,CNTRL,ELP,7,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,15,12,20,IN,38.1,30.48,50.8
65187.74059,8,2017,1,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
10528,8,2017,1,18,CNTRL,CKG,3,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,7,32,47,CM,7,32,47
6720,8,2017,1,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,8,24,35,CM,8,24,35
33088,8,2017,1,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,47,CM,22,32,47
1,8,2017,1,18,CNTRL,CKG,11,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2017,1,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2017,1,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1572000,8,2017,2,4,CNTRL,SIN,1650,62NZ,6,KG,KG,BRU,BE,BRU,SIN,SG,SIN,100,131,120,CM,100,131,120
1337600,8,2017,2,5,CNTRL,SHE,130,83SA,1,KG,KG,PEK,CN,PEK,SHE,CN,SHE,80,152,110,CM,80,152,110
62926.32576,8,2017,2,17,CNTRL,ELP,9,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,16,12,20,IN,40.64,30.48,50.8
2753.026752,8,2017,2,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14,IN,30.48,2.54,35.56
65187.74059,8,2017,2,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,17,13,18,IN,43.18,33.02,45.72
27759.68642,8,2017,2,17,CNTRL,HOU,6,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,11,11,14,IN,27.94,27.94,35.56
5161.92516,8,2017,2,17,CNTRL,SFO,2,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
8640,8,2017,2,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,6,30,48,CM,6,30,48
33088,8,2017,2,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,47,CM,22,32,47
207230,8,2017,2,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,53,46,85,CM,53,46,85
1,8,2017,2,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,8,2017,2,18,CNTRL,CKG,89,94KZ,35,KG,KG,SAC,US,SAC,CKG,CN,CKG,1,1,1,CM,1,1,1
888000,8,2017,2,18,CNTRL,CKG,89,94KZ,35,KG,KG,SAC,US,SAC,CKG,CN,CKG,100,74,120,CM,100,74,120
1,8,2017,2,18,CNTRL,CKG,127,94KZ,50,KG,KG,DFW,US,DFW,CKG,CN,CKG,1,1,1,CM,1,1,1
900000,8,2017,2,18,CNTRL,CKG,127,94KZ,50,KG,KG,DFW,US,DFW,CKG,CN,CKG,100,75,120,CM,100,75,120
