Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight
16422,7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,34.5,59.5,CM,8,34.5,59.5
15680,7,2014,10,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56,CM,8,35,56
1,7,2014,10,18,CNTRL,KUB,6,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1798464,7,2014,11,5,CNTRL,NUE,4853,GT36,53,KG,KG,PIT,US,PIT,NUE,DE,NUE,114,136,116,CM,114,136,116
599045.5116,7,2014,11,7,CNTRL,SAN,661,MS,2,LB,LB,SEA,US,SEA,SAN,US,SAN,37,26,38,IN,93.98,66.04,96.52
5161.92516,7,2014,11,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
9541,7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,47,CM,7,29,47
10556,7,2014,11,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,29,52,CM,7,29,52
22950,7,2014,11,18,CNTRL,CKG,7,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,30,51,CM,15,30,51
16200,7,2014,11,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30,CM,20,27,30
16800,7,2014,11,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,60,CM,8,35,60
33600,7,2014,11,18,CNTRL,KUB,12,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,16,35,60,CM,16,35,60
1,7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1,CM,1,1,1
1464000,7,2014,11,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100,122,120,CM,100,122,120
792871.7046,7,2014,12,7,CNTRL,SAN,3351,MS,8,LB,LB,SAN,US,SAN,SAN,US,SAN,48,24,42,IN,121.92,60.96,106.68
1310400,7,2014,12,17,CNTRL,HKG,8102,55GX,10,LB,KG,HOU,US,HOU,HKG,HK,HKG,78,140,120,CM,78,140,120
33036.32102,7,2014,12,17,CNTRL,HOU,7,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
27759.68642,7,2014,12,17,CNTRL,HOU,9,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,11,11,14,IN,27.94,27.94,35.56
33036.32102,7,2014,12,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,12,14,IN,30.48,30.48,35.56
5161.92516,7,2014,12,17,CNTRL,SFO,13,MS,2,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,7,2014,12,17,CNTRL,SFO,31,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
10710,7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YVR,CA,YVR,CKG,CN,CKG,7,30,51,CM,7,30,51
11760,7,2014,12,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,30,56,CM,7,30,56
1,7,2014,12,18,CNTRL,CKG,5,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2014,12,18,CNTRL,CKG,6,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2014,12,18,CNTRL,CKG,16,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
132000,7,2014,12,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,44,60,CM,50,44,60
1,7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,1,1,1,CM,1,1,1
264000,7,2014,12,18,CNTRL,CKG,37,94KZ,10,KG,KG,ATL,US,ATL,CKG,CN,CKG,60,44,100,CM,60,44,100
1,7,2014,12,18,CNTRL,CKG,62,94KZ,20,KG,KG,LAS,US,LAS,CKG,CN,CKG,1,1,1,CM,1,1,1
516000,7,2014,12,18,CNTRL,CKG,62,94KZ,20,KG,KG,LAS,US,LAS,CKG,CN,CKG,100,43,120,CM,100,43,120
528000,7,2014,12,18,CNTRL,CKG,76,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,44,120,CM,100,44,120
1,7,2014,12,18,CNTRL,CKG,211,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,1,1,1,CM,1,1,1
17010,7,2014,12,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,21,27,30,CM,21,27,30
15680,7,2014,12,18,CNTRL,KUB,5,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,35,56,CM,8,35,56
1,7,2014,12,18,CNTRL,KUB,911,94KZ,300,KG,KG,ATL,US,ATL,KUB,CN,KUB,1,1,1,CM,1,1,1
1,7,2014,12,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,1,1,1,CM,1,1,1
1464000,7,2014,12,18,CNTRL,SHA,17637,94KZ,800,LB,KG,IND,US,IND,SHA,CN,SHA,100,122,120,CM,100,122,120
1769.802912,7,2015,1,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12,IN,22.86,2.54,30.48
1651816.051,7,2015,1,3,CNTRL,SJU,3754,MS,7,LB,LB,MEM,US,MEM,SJU,US,SJU,42,50,48,IN,106.68,127,121.92
1340227.5,7,2015,1,3,CNTRL,SJU,18867,MS,23,LB,LB,SDF,US,SDF,SJU,US,SJU,40.5,43.9,46,IN,102.87,111.506,116.84
440484.2803,7,2015,1,7,CNTRL,SEA,243,MS,1,LB,LB,MSP,US,MSP,SEA,US,SEA,40,28,24,IN,101.6,71.12,60.96
1573.158144,7,2015,1,17,CNTRL,HOU,2,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,8,1,12,IN,20.32,2.54,30.48
5161.92516,7,2015,1,17,CNTRL,SFO,2,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,7,2015,1,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
5161.92516,7,2015,1,17,CNTRL,SFO,7,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7,9,5,IN,17.78,22.86,12.7
10824,7,2015,1,17,CNTRL,SIN,1,ECN,1,KG,KG,YYZ,CA,YYZ,SIN,SG,SIN,22,12,41,CM,22,12,41
12936,7,2015,1,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,56,CM,7,33,56
1,7,2015,1,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,1,18,CNTRL,CKG,2690,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,1,18,CNTRL,KUB,11,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
1968069.999,7,2015,2,3,CNTRL,MEM,36074,MS,56,LB,LB,FLL,US,MIA,MEM,US,MEM,43,57,49,IN,109.22,144.78,124.46
1769.802912,7,2015,2,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12,IN,22.86,2.54,30.48
1341772.8,7,2015,2,3,CNTRL,SJU,25657,MS,26,LB,LB,SDF,US,SDF,SJU,US,SJU,40,44.5,46,IN,101.6,113.03,116.84
62926.32576,7,2015,2,17,CNTRL,HOU,18,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
12936,7,2015,2,18,CNTRL,CKG,4,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7,33,56,CM,7,33,56
19110,7,2015,2,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,26,49,CM,15,26,49
36608,7,2015,2,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22,32,52,CM,22,32,52
141000,7,2015,2,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
1,7,2015,2,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
141000,7,2015,2,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
1,7,2015,2,18,CNTRL,CKG,33,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,2,18,CNTRL,CKG,17637,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1452000,7,2015,2,18,CNTRL,CKG,17637,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,100,121,120,CM,100,121,120
16200,7,2015,2,18,CNTRL,HKG,1,62GQ,1,KG,KG,MIA,US,MIA,HKG,HK,HKG,20,27,30,CM,20,27,30
677244.581,7,2015,3,7,CNTRL,SDF,1545,ECN,1,LB,KG,BUD,HU,BUD,SDF,US,SDF,36,28,41,IN,91.44,71.12,104.14
0,7,2015,3,9,CNTRL,SZX,13965,OFN,588,KG,NULL,EWR,US,EWR,SZX,CN,SZX,0,0,0,CM,0,0,0
685568,7,2015,3,17,CNTRL,HKG,14275,55GX,18,LB,KG,HOU,US,HOU,HKG,HK,HKG,104,103,64,CM,104,103,64
2753.026752,7,2015,3,17,CNTRL,HOU,2,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14,IN,30.48,2.54,35.56
62926.32576,7,2015,3,17,CNTRL,HOU,18,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20,IN,40.64,30.48,50.8
1,7,2015,3,18,CNTRL,CKG,11,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,3,18,CNTRL,CKG,12,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
114000,7,2015,3,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,38,60,CM,50,38,60
1,7,2015,3,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
141000,7,2015,3,18,CNTRL,CKG,18,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
1,7,2015,3,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
552000,7,2015,3,18,CNTRL,CKG,68,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,100,46,120,CM,100,46,120
1,7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1,CM,1,1,1
1104000,7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,92,120,CM,100,92,120
1416000,7,2015,3,18,CNTRL,CKG,1962,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,118,120,CM,100,118,120
12648,7,2015,3,18,CNTRL,KUB,4,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,8,31,51,CM,8,31,51
1,7,2015,3,18,CNTRL,KUB,20,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
129000,7,2015,3,18,CNTRL,KUB,20,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,50,43,60,CM,50,43,60
1,7,2015,3,18,CNTRL,KUB,24,94KZ,4,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1,1,1,CM,1,1,1
200000,7,2015,3,18,CNTRL,SHA,2,94KZ,1,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,50,40,100,CM,50,40,100
1848657.464,7,2015,4,3,CNTRL,SJU,25605,MS,24,LB,LB,SDF,US,SDF,SJU,US,SJU,39.5,59.5,48,IN,100.33,151.13,121.92
0,7,2015,4,4,CNTRL,LEH,90025,OFN,275,KG,NULL,YUL,CA,YUL,LEH,FR,NTE,0,0,0,CM,0,0,0
1293285,7,2015,4,5,CNTRL,HKG,4890,ECN,7,LB,KG,ELP,US,ELP,HKG,HK,HKG,109,105,113,CM,109,105,113
1,7,2015,4,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
141000,7,2015,4,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
1,7,2015,4,18,CNTRL,CKG,16,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,4,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
141000,7,2015,4,18,CNTRL,CKG,17,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50,47,60,CM,50,47,60
1,7,2015,4,18,CNTRL,CKG,34,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,4,18,CNTRL,CKG,39,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1,CM,1,1,1
282000,7,2015,4,18,CNTRL,CKG,39,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,60,47,100,CM,60,47,100
1,7,2015,4,18,CNTRL,CKG,116,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,1,1,1,CM,1,1,1
900000,7,2015,4,18,CNTRL,CKG,116,5589,1,KG,KG,SCL,CL,SCL,CKG,CN,CKG,100,75,120,CM,100,75,120
1,7,2015,4,18,CNTRL,CKG,142,94KZ,50,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,4,18,CNTRL,CKG,366,94KZ,107,KG,KG,SFO,US,SFO,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,4,18,CNTRL,CKG,554,94KZ,200,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1,CM,1,1,1
1,7,2015,4,18,CNTRL,SHA,5,94KZ,2,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,1,1,1,CM,1,1,1
1660783.053,7,2015,5,3,CNTRL,PHL,13918,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,41.4,51,48,IN,105.156,129.54,121.92
1684852.372,7,2015,5,3,CNTRL,PHL,14114,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,42,51,48,IN,106.68,129.54,121.92
1684852.372,7,2015,5,3,CNTRL,PHL,18514,ECN,36,LB,KG,BRU,BE,BRU,PHL,US,PHL,42,51,48,IN,106.68,129.54,121.92
60000,7,2015,5,5,CNTRL,SHE,3000,GT36,5,KG,KG,PEK,CN,PEK,SHE,CN,SHE,40,30,50,CM,40,30,50
69743.34438,7,2015,5,7,CNTRL,PHX,106,3776,1,LB,KG,MIL,IT,MIL,PHX,US,TUS,14,16,19,IN,35.56,40.64,48.26
0,7,2015,5,9,CNTRL,SGN,14658,OFN,42,KG,NULL,EWR,US,EWR,SGN,VN,SGN,0,0,0,CM,0,0,0
