ShipmentCount,MonthNumber
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
8,9
8,9
9,9
10,9
11,9
11,9
11,9
11,9
11,9
11,9
12,9
12,9
12,9
12,9
12,9
13,9
13,9
15,9
18,9
26,9
7,8
7,8
7,8
7,8
7,8
8,8
11,8
11,8
12,8
12,8
12,8
13,8
16,8
17,8
18,8
7,12
7,12
7,12
7,12
7,12
9,12
10,12
13,12
14,12
15,12
16,12
18,12
19,12
19,12
21,12
7,11
7,11
7,11
8,11
13,11
14,11
14,11
14,11
16,11
17,11
19,11
7,10
7,10
9,10
9,10
11,10
12,10
13,10
14,10
15,10
20,10
25,10
26,10
33,10
46,10
7,9
7,9
7,9
7,9
8,9
9,9
9,9
9,9
10,9
10,9
10,9
15,9
16,9
28,9
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
9,8
9,8
9,8
10,8
10,8
10,8
11,8
20,8
21,8
21,8
30,8
7,7
7,7
7,7
7,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
14,7
15,7
18,7
20,7
28,7
7,6
7,6
8,6
9,6
10,6
10,6
12,6
12,6
13,6
14,6
14,6
16,6
16,6
17,6
18,6
7,5
7,5
8,5
8,5
8,5
9,5
9,5
10,5
11,5
15,5
15,5
17,5
20,5
22,5
23,5
7,4
7,4
7,4
7,4
7,4
8,4
8,4
9,4
9,4
9,4
11,4
11,4
13,4
14,4
15,4
17,4
17,4
20,4
20,4
39,4
7,3
7,3
8,3
8,3
8,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
9,3
9,3
10,3
10,3
10,3
11,3
11,3
12,3
13,3
13,3
14,3
16,3
19,3
7,2
7,2
7,2
7,2
8,2
9,2
9,2
10,2
11,2
13,2
15,2
16,2
17,2
17,2
19,2
7,1
7,1
7,1
8,1
8,1
9,1
9,1
10,1
11,1
12,1
12,1
13,1
15,1
16,1
16,1
18,1
20,1
7,12
7,12
11,12
11,12
13,12
13,12
14,12
14,12
15,12
20,12
21,12
24,12
29,12
35,12
52,12
7,11
7,11
7,11
7,11
7,11
9,11
9,11
9,11
10,11
11,11
11,11
11,11
12,11
12,11
13,11
13,11
14,11
14,11
17,11
30,11
34,11
50,11
83,11
134,11
7,10
7,10
7,10
7,10
10,10
10,10
11,10
13,10
15,10
18,10
24,10
25,10
7,9
7,9
8,9
8,9
9,9
11,9
11,9
15,9
19,9
29,9
40,9
7,8
7,8
7,8
8,8
8,8
8,8
10,8
12,8
12,8
12,8
13,8
15,8
16,8
18,8
18,8
22,8
27,8
38,8
7,7
11,7
12,7
12,7
13,7
15,7
24,7
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
8,6
8,6
9,6
9,6
11,6
13,6
13,6
15,6
24,6
25,6
26,6
7,5
8,5
8,5
8,5
9,5
11,5
12,5
12,5
13,5
15,5
19,5
27,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
8,4
8,4
8,4
9,4
9,4
10,4
13,4
14,4
17,4
18,4
21,4
25,4
7,3
7,3
7,3
7,3
7,3
7,3
8,3
8,3
8,3
8,3
9,3
9,3
9,3
9,3
10,3
10,3
12,3
17,3
20,3
34,3
8,2
8,2
8,2
9,2
9,2
10,2
11,2
13,2
13,2
13,2
14,2
17,2
19,2
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
9,1
9,1
10,1
14,1
19,1
19,1
21,1
7,12
8,12
8,12
8,12
8,12
9,12
9,12
9,12
10,12
10,12
10,12
10,12
10,12
11,12
11,12
13,12
15,12
18,12
7,11
7,11
7,11
7,11
7,11
7,11
8,11
8,11
8,11
8,11
9,11
9,11
10,11
10,11
10,11
10,11
10,11
11,11
14,11
16,11
18,11
23,11
25,11
7,10
7,10
7,10
7,10
8,10
8,10
8,10
10,10
10,10
10,10
12,10
12,10
14,10
14,10
14,10
23,10
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
10,9
11,9
12,9
13,9
21,9
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,8
8,8
8,8
8,8
8,8
8,8
9,8
9,8
9,8
9,8
10,8
10,8
10,8
10,8
11,8
11,8
11,8
13,8
13,8
13,8
15,8
15,8
15,8
19,8
21,8
28,8
35,8
35,8
7,7
7,7
7,7
8,7
8,7
8,7
9,7
9,7
10,7
10,7
19,7
20,7
23,7
27,7
7,6
7,6
7,6
8,6
8,6
9,6
9,6
10,6
11,6
13,6
14,6
15,6
18,6
20,6
7,5
7,5
7,5
