ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
8,2015,5,5,CNTRL,SHE,1500
9,2015,5,5,CNTRL,AMS,4
15,2015,5,5,CNTRL,SIN,1
17,2015,4,5,CNTRL,SIN,2
13,2015,2,5,CNTRL,SHE,92
9,2015,1,5,CNTRL,AMS,8
7,2016,12,5,CNTRL,MIL,240
11,2016,12,5,CNTRL,SIN,2
35,2016,12,5,CNTRL,SIN,3
11,2016,11,5,CNTRL,SDF,333
12,2016,11,5,CNTRL,SDF,337
13,2016,11,5,CNTRL,SIN,2
13,2016,10,5,CNTRL,SDF,485
7,2016,9,5,CNTRL,SHE,3
11,2016,9,5,CNTRL,SDF,485
8,2016,8,5,CNTRL,PHX,1246
8,2016,8,5,CNTRL,PHX,1268
10,2016,8,5,CNTRL,PHX,1241
24,2016,7,5,CNTRL,AMS,2
7,2016,6,5,CNTRL,PHX,1232
7,2016,6,5,CNTRL,PHX,1248
9,2016,6,5,CNTRL,AMS,4
13,2016,6,5,CNTRL,AMS,2
24,2016,6,5,CNTRL,SIN,3
25,2016,6,5,CNTRL,SIN,1
7,2016,5,5,CNTRL,SIN,3
11,2016,5,5,CNTRL,SDF,22
8,2016,4,5,CNTRL,MAA,157
7,2016,3,5,CNTRL,SHE,90
8,2016,3,5,CNTRL,AMS,8
14,2016,2,5,CNTRL,AMS,1
7,2016,1,5,CNTRL,SIN,7
21,2016,1,5,CNTRL,AMS,1
8,2017,12,5,CNTRL,SHA,9
9,2017,12,5,CNTRL,SHA,12
9,2017,12,5,CNTRL,SIN,4
10,2017,12,5,CNTRL,SDF,611
15,2017,12,5,CNTRL,SIN,2
7,2017,11,5,CNTRL,AMS,1
7,2017,11,5,CNTRL,SDF,567
7,2017,11,5,CNTRL,SHA,12
8,2017,11,5,CNTRL,SZX,1
10,2017,11,5,CNTRL,SIN,6
7,2017,10,5,CNTRL,SHA,11
7,2017,9,5,CNTRL,SDF,503
8,2017,9,5,CNTRL,SDF,7
8,2017,9,5,CNTRL,SIN,2
21,2017,9,5,CNTRL,SIN,1
10,2017,8,5,CNTRL,KUB,78
8,2017,7,5,CNTRL,KUB,1
8,2017,7,5,CNTRL,SHA,3
23,2017,7,5,CNTRL,SIN,2
8,2017,6,5,CNTRL,SDF,4
9,2017,6,5,CNTRL,SDF,496
10,2017,6,5,CNTRL,SHA,7
14,2017,6,5,CNTRL,SIN,4
20,2017,6,5,CNTRL,SIN,2
7,2017,5,5,CNTRL,SDF,608
7,2017,5,5,CNTRL,SIN,4
8,2017,5,5,CNTRL,SIN,12
9,2017,4,5,CNTRL,SIN,6
11,2017,4,5,CNTRL,SDF,496
7,2017,3,5,CNTRL,SDF,9
7,2017,1,5,CNTRL,SHA,9
8,2017,1,5,CNTRL,SHE,3000
54,2017,1,5,CNTRL,SHA,3
8,2018,2,5,CNTRL,SDF,2
8,2018,2,5,CNTRL,SIN,12
10,2018,1,5,CNTRL,SHA,3
25,2018,1,5,CNTRL,SIN,2
7,2014,12,7,CNTRL,SIN,17
8,2014,12,7,CNTRL,SAN,3351
8,2014,12,7,CNTRL,TPA,44
9,2014,12,7,CNTRL,SAN,992
15,2014,12,7,CNTRL,SAN,331
7,2014,11,7,CNTRL,TYO,9
8,2014,11,7,CNTRL,SIN,3
21,2014,11,7,CNTRL,SAN,3351
7,2014,10,7,CNTRL,PRG,1
11,2014,10,7,CNTRL,PHX,9
25,2014,10,7,CNTRL,PHX,2
7,2014,9,7,CNTRL,PEN,3
9,2014,9,7,CNTRL,YYZ,2
11,2014,9,7,CNTRL,PHX,9
7,2014,8,7,CNTRL,PRG,4
7,2014,8,7,CNTRL,SAN,728
7,2014,8,7,CNTRL,SAN,794
12,2014,8,7,CNTRL,ELP,4
8,2015,12,7,CNTRL,YYZ,11
10,2015,12,7,CNTRL,PHX,2
11,2015,12,7,CNTRL,YYZ,22
11,2015,11,7,CNTRL,PHX,2
7,2015,10,7,CNTRL,MKC,9
7,2015,10,7,CNTRL,PEN,2
10,2015,10,7,CNTRL,SIN,3
12,2015,10,7,CNTRL,MKC,7
7,2015,9,7,CNTRL,PEN,2
7,2015,9,7,CNTRL,TPE,1
8,2015,9,7,CNTRL,SAN,661
13,2015,9,7,CNTRL,YYZ,7
18,2015,9,7,CNTRL,YYZ,2
7,2015,8,7,CNTRL,YYZ,9
7,2015,8,7,CNTRL,YYZ,26
8,2015,8,7,CNTRL,MKC,4
12,2015,8,7,CNTRL,PEN,1
7,2015,7,7,CNTRL,YYZ,13
8,2015,7,7,CNTRL,PHX,11
10,2015,7,7,CNTRL,YYZ,4
16,2015,7,7,CNTRL,SAN,331
8,2015,6,7,CNTRL,PHX,507
9,2015,6,7,CNTRL,PEN,1
7,2015,5,7,CNTRL,PEN,1
7,2015,5,7,CNTRL,TPE,6
9,2015,5,7,CNTRL,PHX,106
7,2015,4,7,CNTRL,PHX,9
7,2015,4,7,CNTRL,PHX,49
7,2015,4,7,CNTRL,SEA,198
8,2015,4,7,CNTRL,MKC,7
8,2015,4,7,CNTRL,PHX,106
8,2015,4,7,CNTRL,SAN,518
8,2015,4,7,CNTRL,SHA,6
11,2015,4,7,CNTRL,PHX,507
7,2015,3,7,CNTRL,YYZ,2
7,2015,3,7,CNTRL,YYZ,4
8,2015,3,7,CNTRL,TPA,55
9,2015,3,7,CNTRL,SAN,331
8,2015,1,7,CNTRL,SEA,243
9,2015,1,7,CNTRL,YYZ,4
11,2015,1,7,CNTRL,YYZ,2
10,2016,9,7,CNTRL,PEN,1
8,2016,8,7,CNTRL,TPE,4
9,2016,8,7,CNTRL,CTU,10
7,2016,7,7,CNTRL,YYZ,2
7,2016,7,7,CNTRL,YYZ,9
7,2016,6,7,CNTRL,CTU,10
7,2016,6,7,CNTRL,PRG,4
8,2016,5,7,CNTRL,PHX,2
10,2016,4,7,CNTRL,TPE,1
10,2016,2,7,CNTRL,TPE,4
13,2016,2,7,CNTRL,YYZ,9
7,2016,1,7,CNTRL,SEA,276
7,2016,1,7,CNTRL,TSN,68
8,2016,1,7,CNTRL,TPE,6
9,2016,1,7,CNTRL,YYZ,9
11,2016,1,7,CNTRL,PHX,2
8,2017,11,7,CNTRL,YYZ,6
10,2017,11,7,CNTRL,YYZ,4
14,2017,11,7,CNTRL,SZX,0
8,2017,8,7,CNTRL,TPE,1
11,2017,8,7,CNTRL,PEN,1
12,2017,8,7,CNTRL,PEN,2
8,2017,7,7,CNTRL,YYZ,2
8,2017,6,7,CNTRL,PHX,9
9,2017,6,7,CNTRL,YYZ,2
14,2017,5,7,CNTRL,YYZ,9
9,2017,4,7,CNTRL,TPE,4
13,2017,4,7,CNTRL,YYZ,9
9,2017,3,7,CNTRL,PEN,2
11,2017,3,7,CNTRL,PEN,1
40,2017,3,7,CNTRL,YYZ,2
7,2017,2,7,CNTRL,PEN,2
7,2017,2,7,CNTRL,YYZ,18
10,2017,2,7,CNTRL,PHX,4
12,2017,2,7,CNTRL,PHX,2
12,2017,2,7,CNTRL,YYZ,2
14,2017,2,7,CNTRL,PEN,1
