ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
12,2016,6,17,CNTRL,ELP,73
7,2016,12,17,CNTRL,ELP,33
33,2015,4,17,CNTRL,HOU,9
7,2016,3,7,CNTRL,YYZ,7
9,2015,3,7,CNTRL,SAN,331
9,2015,12,3,CNTRL,EWR,25045
7,2017,1,17,CNTRL,ELP,269
188,2017,10,17,CNTRL,HOU,1
7,2014,11,5,CNTRL,SHE,3000
11,2014,10,18,CNTRL,KUB,35
10,2016,9,17,CNTRL,HOU,10
8,2016,6,18,CNTRL,CKG,109
7,2014,11,17,CNTRL,HOU,79
13,2017,8,5,CNTRL,KUB,4
7,2016,3,17,CNTRL,HOU,31
17,2017,12,18,CNTRL,CKG,97
8,2016,2,5,CNTRL,SIN,3
8,2014,9,17,CNTRL,HOU,5
9,2017,1,18,CNTRL,CKG,81
31,2015,3,18,CNTRL,CKG,98
15,2014,10,17,CNTRL,HOU,31
8,2018,1,18,CNTRL,CKG,206
21,2016,12,18,CNTRL,KUB,6
10,2017,8,5,CNTRL,CLT,7
17,2015,4,5,CNTRL,AMS,3
26,2015,10,18,CNTRL,CKG,35
7,2016,11,17,CNTRL,HOU,12
7,2017,1,18,CNTRL,CKG,112
7,2016,2,18,CNTRL,CKG,101
8,2017,7,17,CNTRL,ELP,205
8,2016,9,4,CNTRL,MTY,10650
9,2014,10,3,CNTRL,ONT,20
26,2015,1,18,CNTRL,CKG,17637
7,2015,6,3,CNTRL,ONT,20
9,2016,2,5,CNTRL,SDF,7
12,2015,12,17,CNTRL,HOU,24
20,2016,4,18,CNTRL,CKG,39
7,2014,12,18,CNTRL,KUB,90
27,2017,5,18,CNTRL,CKG,11
12,2016,4,18,CNTRL,KUB,45
17,2014,8,17,CNTRL,HOU,13
10,2017,6,18,CNTRL,CKG,154
7,2016,12,17,CNTRL,ELP,190
7,2017,11,17,CNTRL,SIN,41
36,2017,3,5,CNTRL,SIN,3
9,2015,8,18,CNTRL,KUB,29
11,2014,10,18,CNTRL,CKG,206
12,2017,4,5,CNTRL,SHA,9
7,2014,10,7,CNTRL,PHX,11
18,2016,6,18,CNTRL,CKG,15
15,2016,9,5,CNTRL,SIN,2
7,2016,3,8,CNTRL,ORD,179
7,2017,4,8,CNTRL,ORD,287
12,2017,2,17,CNTRL,HOU,8
20,2016,8,18,CNTRL,CKG,103
169,2016,5,17,CNTRL,SFO,2
9,2017,7,18,CNTRL,CKG,168
9,2015,1,8,CNTRL,ORD,2
9,2015,6,17,CNTRL,HOU,1
19,2015,8,18,CNTRL,CKG,61
8,2014,11,5,CNTRL,SDF,18
49,2015,1,17,CNTRL,HOU,4
15,2018,2,18,CNTRL,CKG,8
7,2015,12,5,CNTRL,AMS,4
13,2015,7,17,CNTRL,HOU,40
8,2016,8,5,CNTRL,AMS,6
16,2017,6,18,CNTRL,CKG,130
9,2014,12,7,CNTRL,PEN,1
7,2014,8,18,CNTRL,CKG,102
17,2015,12,17,CNTRL,HOU,33
8,2015,7,17,CNTRL,HOU,49
8,2017,4,17,CNTRL,HOU,17
9,2016,6,18,CNTRL,CKG,940
14,2017,4,5,CNTRL,SIN,3
19,2015,11,5,CNTRL,SIN,4
56,2016,12,17,CNTRL,HOU,3
13,2015,3,17,CNTRL,HKG,1
30,2015,11,17,CNTRL,SFO,7
12,2015,4,18,CNTRL,CKG,86
16,2017,4,17,CNTRL,SFO,2
14,2017,11,5,CNTRL,AMS,1
8,2014,11,7,CNTRL,SAN,992
12,2016,6,17,CNTRL,ELP,51
34,2017,1,17,CNTRL,HOU,5
17,2015,3,17,CNTRL,HOU,22
7,2015,7,5,CNTRL,SDF,606
9,2015,4,5,CNTRL,SHE,2
76,2017,4,17,CNTRL,HOU,2
25,2015,7,18,CNTRL,CKG,15
14,2015,11,5,CNTRL,SIN,1
9,2015,8,17,CNTRL,HOU,55
7,2015,12,17,CNTRL,HOU,4
12,2016,5,17,CNTRL,ELP,66
24,2017,10,18,CNTRL,KUB,28
19,2015,4,17,CNTRL,HOU,20
21,2016,9,18,CNTRL,HKG,2
13,2014,10,18,CNTRL,CKG,49
11,2016,10,17,CNTRL,ELP,64
11,2015,10,18,CNTRL,CKG,80
11,2016,11,17,CNTRL,HOU,8
24,2015,9,17,CNTRL,HOU,9
12,2017,5,17,CNTRL,ELP,49
12,2016,12,18,CNTRL,CKG,107
10,2016,3,18,CNTRL,KUB,2
19,2017,10,18,CNTRL,CKG,53
7,2015,7,18,CNTRL,KUB,76
7,2014,12,17,CNTRL,SFO,26
8,2015,10,18,CNTRL,CKG,71
15,2014,10,18,CNTRL,CKG,144
70,2017,3,18,CNTRL,CKG,47
7,2016,4,7,CNTRL,CTU,10
10,2015,9,18,CNTRL,CKG,129
15,2017,12,18,CNTRL,CKG,88
7,2016,6,9,CNTRL,DLC,9460
8,2015,3,7,CNTRL,SAN,661
7,2017,10,17,CNTRL,ELP,278
7,2018,2,18,CNTRL,CKG,20
15,2017,8,17,CNTRL,ELP,57
10,2014,10,18,CNTRL,CKG,110
26,2017,3,5,CNTRL,SHA,3
8,2016,1,7,CNTRL,PHX,86
51,2016,11,17,CNTRL,HOU,2
10,2015,4,18,CNTRL,CKG,139
23,2017,6,18,CNTRL,CKG,84
8,2014,12,5,CNTRL,SDF,728
19,2017,6,17,CNTRL,ELP,31
8,2016,6,18,CNTRL,CKG,137
10,2017,7,17,CNTRL,ELP,35
8,2017,6,7,CNTRL,PHX,9
8,2018,1,5,CNTRL,SDF,728
11,2014,10,7,CNTRL,ELP,9
7,2017,3,5,CNTRL,SZX,1360
8,2018,1,18,CNTRL,CKG,109
24,2016,10,5,CNTRL,SHA,2
7,2016,11,18,CNTRL,KUB,59
33,2017,4,5,CNTRL,SHA,5
35,2015,1,17,CNTRL,HOU,7
7,2014,11,18,CNTRL,CKG,97
12,2016,5,7,CNTRL,YYZ,2
10,2016,5,17,CNTRL,HOU,16
10,2014,12,18,CNTRL,KUB,51
10,2017,1,17,CNTRL,ELP,273
8,2017,7,17,CNTRL,ELP,141
8,2014,9,3,CNTRL,ONT,7
15,2016,10,18,CNTRL,CKG,116
19,2014,10,18,CNTRL,CKG,28
12,2015,2,17,CNTRL,HKG,1
30,2016,11,5,CNTRL,SIN,3
9,2017,6,5,CNTRL,SDF,569
7,2017,5,18,CNTRL,CKG,205
