ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
10,2016,12,9,CNTRL,DLC,9243
8,2016,11,7,CNTRL,PEN,2
13,2017,4,17,CNTRL,ELP,75
12,2015,8,7,CNTRL,PEN,1
12,2014,8,17,CNTRL,HOU,15
18,2014,9,5,CNTRL,SDF,496
19,2017,4,7,CNTRL,YYZ,2
53,2015,7,17,CNTRL,HOU,9
39,2016,12,17,CNTRL,ELP,7
15,2016,4,3,CNTRL,MEM,4
11,2014,10,7,CNTRL,ELP,9
19,2017,7,5,CNTRL,SIN,1
25,2017,6,18,CNTRL,CKG,90
11,2016,6,18,CNTRL,CKG,124
9,2017,8,5,CNTRL,KUB,7
10,2017,11,5,CNTRL,SIN,3
8,2014,10,5,CNTRL,HAM,225
7,2014,11,5,CNTRL,SHE,3000
12,2017,3,7,CNTRL,MKC,11
10,2015,8,18,CNTRL,CKG,51
15,2016,8,5,CNTRL,SIN,2
9,2018,1,8,CNTRL,ORD,154
18,2016,5,18,CNTRL,CKG,61
64,2016,5,18,CNTRL,CKG,27
111,2016,6,17,CNTRL,SFO,2
8,2014,9,17,CNTRL,HOU,37
43,2017,3,18,CNTRL,CKG,35
38,2015,8,17,CNTRL,HOU,2
11,2017,5,17,CNTRL,ELP,44
9,2016,9,17,CNTRL,HOU,11
7,2015,1,18,CNTRL,CKG,24
11,2017,2,17,CNTRL,ELP,64
10,2014,11,17,CNTRL,SFO,13
8,2014,8,3,CNTRL,MIA,1
15,2015,10,5,CNTRL,AMS,2
23,2016,10,17,CNTRL,ELP,53
7,2017,8,5,CNTRL,KUB,50
7,2016,8,17,CNTRL,ELP,46
11,2014,12,18,CNTRL,CKG,50
11,2017,5,17,CNTRL,ELP,40
10,2016,1,18,CNTRL,CKG,98
8,2015,3,17,CNTRL,SIN,1
12,2016,6,17,CNTRL,ELP,73
12,2017,12,18,CNTRL,CKG,236
12,2016,9,17,CNTRL,SFO,4
7,2014,8,7,CNTRL,SAN,794
22,2017,6,17,CNTRL,ELP,33
77,2014,8,17,CNTRL,SFO,2
15,2015,11,18,CNTRL,KUB,5
38,2017,9,18,CNTRL,HKG,1
11,2014,8,17,CNTRL,SIN,1
8,2017,1,17,CNTRL,ELP,73
17,2016,4,18,CNTRL,CKG,61
8,2016,6,5,CNTRL,AMS,11
39,2017,6,18,CNTRL,CKG,42
18,2016,6,18,CNTRL,CKG,79
8,2016,8,5,CNTRL,AMS,6
25,2017,5,18,CNTRL,CKG,42
8,2015,7,18,CNTRL,KUB,65
10,2016,7,17,CNTRL,HOU,14
7,2015,7,5,CNTRL,AMS,4
8,2015,1,5,CNTRL,SIN,2
24,2014,8,18,CNTRL,CKG,33
9,2014,12,7,CNTRL,TYO,9
7,2015,10,18,CNTRL,KUB,54
7,2014,8,18,CNTRL,CKG,63
7,2014,10,5,CNTRL,AMS,23
8,2015,6,7,CNTRL,MKC,9
7,2016,5,7,CNTRL,MKC,11
19,2017,2,18,CNTRL,CKG,127
