ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2017,6,3,CNTRL,ONT,1
8,2017,6,3,CNTRL,MEM,2
7,2017,5,3,CNTRL,MEM,4
9,2017,2,3,CNTRL,ONT,1
9,2018,2,3,CNTRL,ONT,1
7,2014,12,4,CNTRL,MTY,10050
9,2014,9,4,CNTRL,ATL,157
7,2015,12,4,CNTRL,MTY,10650
7,2015,11,4,CNTRL,SIN,39
7,2015,9,4,CNTRL,MTY,10650
7,2015,1,4,CNTRL,MTY,10500
7,2015,1,4,CNTRL,TSN,1
9,2016,11,4,CNTRL,SIN,1650
7,2016,9,4,CNTRL,ATL,260
8,2016,9,4,CNTRL,MTY,10650
11,2016,9,4,CNTRL,SIN,1650
7,2016,5,4,CNTRL,DUB,10
10,2016,4,4,CNTRL,SIN,39
10,2017,12,4,CNTRL,MTY,10050
7,2017,11,4,CNTRL,MTY,10050
8,2017,3,4,CNTRL,AMS,49
8,2017,2,4,CNTRL,SIN,1650
9,2017,1,4,CNTRL,SIN,1650
12,2018,1,4,CNTRL,IND,287
7,2014,12,5,CNTRL,AMS,11
7,2014,12,5,CNTRL,AMS,15
7,2014,12,5,CNTRL,AMS,55
7,2014,12,5,CNTRL,HKG,832
7,2014,12,5,CNTRL,SDF,9
7,2014,12,5,CNTRL,SDF,13
7,2014,12,5,CNTRL,SDF,573
8,2014,12,5,CNTRL,AMS,6
8,2014,12,5,CNTRL,AMS,8
8,2014,12,5,CNTRL,SDF,606
8,2014,12,5,CNTRL,SDF,728
8,2014,12,5,CNTRL,SIN,3
9,2014,12,5,CNTRL,AMS,10
10,2014,12,5,CNTRL,AMS,5
11,2014,12,5,CNTRL,AMS,4
11,2014,12,5,CNTRL,SIN,2
13,2014,12,5,CNTRL,SHE,1500
13,2014,12,5,CNTRL,SIN,1
15,2014,12,5,CNTRL,SHE,3000
16,2014,12,5,CNTRL,SDF,496
18,2014,12,5,CNTRL,AMS,3
19,2014,12,5,CNTRL,AMS,2
33,2014,12,5,CNTRL,AMS,1
7,2014,11,5,CNTRL,AMS,65
7,2014,11,5,CNTRL,POU,13206
7,2014,11,5,CNTRL,SDF,7
7,2014,11,5,CNTRL,SDF,9
7,2014,11,5,CNTRL,SFO,106
7,2014,11,5,CNTRL,SHE,1000
7,2014,11,5,CNTRL,SHE,3000
8,2014,11,5,CNTRL,AMS,8
8,2014,11,5,CNTRL,AMS,14
8,2014,11,5,CNTRL,AMS,46
8,2014,11,5,CNTRL,SDF,18
8,2014,11,5,CNTRL,SDF,728
8,2014,11,5,CNTRL,SIN,2
8,2014,11,5,CNTRL,SIN,3
10,2014,11,5,CNTRL,AMS,5
10,2014,11,5,CNTRL,SDF,2
10,2014,11,5,CNTRL,SIN,2
11,2014,11,5,CNTRL,AMS,6
12,2014,11,5,CNTRL,SDF,496
13,2014,11,5,CNTRL,SDF,606
14,2014,11,5,CNTRL,SIN,4
16,2014,11,5,CNTRL,SHE,1700
17,2014,11,5,CNTRL,AMS,4
18,2014,11,5,CNTRL,AMS,2
23,2014,11,5,CNTRL,AMS,3
25,2014,11,5,CNTRL,AMS,1
7,2014,10,5,CNTRL,AMS,9
7,2014,10,5,CNTRL,AMS,11
7,2014,10,5,CNTRL,AMS,13
7,2014,10,5,CNTRL,AMS,17
7,2014,10,5,CNTRL,AMS,23
7,2014,10,5,CNTRL,AMS,58
7,2014,10,5,CNTRL,AMS,71
7,2014,10,5,CNTRL,SDF,2
7,2014,10,5,CNTRL,SDF,7
7,2014,10,5,CNTRL,SDF,485
7,2014,10,5,CNTRL,SIN,3
8,2014,10,5,CNTRL,AMS,4
8,2014,10,5,CNTRL,AMS,19
8,2014,10,5,CNTRL,AMS,38
8,2014,10,5,CNTRL,AMS,53
8,2014,10,5,CNTRL,AMS,77
8,2014,10,5,CNTRL,HAM,225
9,2014,10,5,CNTRL,AMS,37
9,2014,10,5,CNTRL,SDF,728
9,2014,10,5,CNTRL,SHE,3000
10,2014,10,5,CNTRL,AMS,6
10,2014,10,5,CNTRL,SDF,595
10,2014,10,5,CNTRL,SIN,2
11,2014,10,5,CNTRL,AMS,8
11,2014,10,5,CNTRL,SDF,4
12,2014,10,5,CNTRL,AMS,5
12,2014,10,5,CNTRL,AMS,7
12,2014,10,5,CNTRL,SDF,1102
13,2014,10,5,CNTRL,SIN,1
14,2014,10,5,CNTRL,SDF,606
22,2014,10,5,CNTRL,AMS,2
22,2014,10,5,CNTRL,SDF,496
26,2014,10,5,CNTRL,AMS,3
47,2014,10,5,CNTRL,AMS,1
7,2014,9,5,CNTRL,AMS,9
7,2014,9,5,CNTRL,AMS,33
7,2014,9,5,CNTRL,AMS,47
7,2014,9,5,CNTRL,AMS,57
7,2014,9,5,CNTRL,AMS,66
7,2014,9,5,CNTRL,AMS,71
7,2014,9,5,CNTRL,AMS,75
7,2014,9,5,CNTRL,SDF,35
