Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight.1
129000.0,8,2014,12,18,CNTRL,CKG,15,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50.0,43.0,60.0,CM,50.0,43.0,60.0
1.0,13,2017,10,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
62926.32576,9,2016,5,17,CNTRL,HOU,5,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
1.0,8,2017,3,18,CNTRL,CKG,29,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
15500.0,8,2017,1,7,CNTRL,YYZ,2,MS,1,KG,LB,MDT,US,MDT,YYZ,CA,YYZ,25.0,20.0,31.0,CM,25.0,20.0,31.0
27225.0,7,2016,4,18,CNTRL,CKG,6,94KZ,2,KG,KG,YVR,CA,YVR,CKG,CN,CKG,15.0,33.0,55.0,CM,15.0,33.0,55.0
33792.0,18,2017,7,5,CNTRL,SHA,4,ECN,1,KG,KG,SEA,US,SEA,SHA,CN,SHA,44.0,12.0,64.0,CM,44.0,12.0,64.0
65187.74059,9,2017,3,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,17.0,13.0,18.0,IN,43.18,33.02,45.72
33036.321019999996,15,2016,4,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
2949.67152,7,2017,6,3,CNTRL,MEM,2,MS,1,LB,,MIA,US,MIA,MEM,US,MEM,12.0,1.0,15.0,IN,30.48,2.54,38.1
0.0,8,2015,10,4,CNTRL,PAR,10925,OFN,63,KG,,SIN,SG,SIN,PAR,FR,PAR,0.0,0.0,0.0,CM,0.0,0.0,0.0
1.0,8,2017,2,18,CNTRL,CKG,127,94KZ,50,KG,KG,DFW,US,DFW,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
62926.32576,10,2016,3,17,CNTRL,HOU,4,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
1.0,13,2015,5,18,CNTRL,CKG,15,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,8,2017,4,18,CNTRL,KUB,580,94KZ,200,KG,KG,ORD,US,ORD,KUB,CN,KUB,1.0,1.0,1.0,CM,1.0,1.0,1.0
19110.0,8,2015,3,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15.0,26.0,49.0,CM,15.0,26.0,49.0
1.0,9,2017,12,18,CNTRL,CKG,32,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,12,2016,3,18,CNTRL,CKG,2282,94KZ,250,LB,KG,IND,US,IND,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
184184.0,9,2016,2,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,52.0,46.0,77.0,CM,52.0,46.0,77.0
1.0,8,2017,4,18,CNTRL,CKG,9,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1620000.0,10,2016,10,18,CNTRL,CKG,124,44CI,8,KG,KG,ONT,US,ONT,CKG,CN,CKG,100.0,135.0,120.0,CM,100.0,135.0,120.0
1558287.0,25,2016,10,18,CNTRL,NKG,337,94KZ,16,KG,KG,ONT,US,ONT,NKG,CN,WUH,103.0,123.0,123.0,CM,103.0,123.0,123.0
1.0,11,2016,2,18,CNTRL,CKG,31,94KZ,10,KG,KG,ORD,US,ORD,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
5161.92516,21,2015,4,17,CNTRL,SFO,4,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
11781.0,33,2017,3,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,33.0,51.0,CM,7.0,33.0,51.0
1104000.0,8,2015,3,18,CNTRL,CKG,1951,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100.0,92.0,120.0,CM,100.0,92.0,120.0
1.0,7,2015,9,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
27759.686419999998,54,2017,3,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,11.0,11.0,14.0,IN,27.94,27.94,35.56
5161.92516,16,2014,12,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
1.0,8,2014,9,18,CNTRL,CKG,18,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,14,2017,3,18,CNTRL,KUB,12,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1.0,1.0,1.0,CM,1.0,1.0,1.0
19740.0,8,2018,1,18,CNTRL,KUB,6,94KZ,1,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,12.0,35.0,47.0,CM,12.0,35.0,47.0
62926.32576,8,2016,4,17,CNTRL,HOU,3,MS,1,KG,LB,YVR,CA,YVR,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
65187.74059,13,2017,2,17,CNTRL,HOU,4,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,17.0,13.0,18.0,IN,43.18,33.02,45.72
1573.158144,7,2016,6,17,CNTRL,HOU,1,MS,2,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,8.0,1.0,12.0,IN,20.32,2.54,30.48
110121.0701,10,2016,5,17,CNTRL,HOU,6,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,20.0,14.0,24.0,IN,50.8,35.56,60.96
141000.0,8,2015,5,18,CNTRL,CKG,14,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50.0,47.0,60.0,CM,50.0,47.0,60.0
1.0,7,2017,4,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
45120.0,11,2017,6,18,CNTRL,CKG,10,94KZ,4,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,30.0,32.0,47.0,CM,30.0,32.0,47.0
5161.92516,15,2014,9,17,CNTRL,SFO,7,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
138000.0,20,2015,6,18,CNTRL,CKG,17,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50.0,46.0,60.0,CM,50.0,46.0,60.0
1.0,8,2016,9,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
10528.0,14,2017,9,18,CNTRL,CKG,2,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,32.0,47.0,CM,7.0,32.0,47.0
1.0,8,2017,6,18,CNTRL,CKG,15,94KZ,6,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
10710.0,8,2017,6,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,34.0,45.0,CM,7.0,34.0,45.0
10556.0,22,2014,9,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,29.0,52.0,CM,7.0,29.0,52.0
1175040.0,8,2017,5,5,CNTRL,SZX,1440,ECN,10,KG,KG,LRD,US,LRD,SZX,CN,SZX,102.0,96.0,120.0,CM,102.0,96.0,120.0
