ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
11,2016,4,18,CNTRL,KUB,28
17,2014,10,18,CNTRL,CKG,143
37,2015,10,18,CNTRL,CKG,32
49,2018,2,18,CNTRL,CKG,2
9,2015,1,18,CNTRL,KUB,34
19,2017,8,5,CNTRL,SIN,3
31,2017,11,18,CNTRL,CKG,61
9,2014,12,18,CNTRL,CKG,152
12,2015,7,18,CNTRL,CKG,99
10,2016,7,18,CNTRL,CKG,132
15,2015,7,5,CNTRL,SDF,496
7,2017,3,18,CNTRL,KUB,56
20,2017,9,18,CNTRL,CKG,8
11,2015,1,18,CNTRL,CKG,520
8,2017,11,18,CNTRL,CKG,254
8,2015,9,18,CNTRL,KUB,25
12,2017,7,18,CNTRL,KUB,32
7,2015,7,5,CNTRL,SDF,606
57,2016,1,18,CNTRL,HKG,1
9,2017,5,18,CNTRL,CKG,108
15,2018,2,18,CNTRL,CKG,8
9,2017,10,18,CNTRL,CKG,141
172,2015,10,18,CNTRL,CKG,3
7,2014,10,7,CNTRL,SIN,2
12,2015,10,18,CNTRL,CKG,108
9,2015,6,17,CNTRL,SFO,11
14,2016,6,17,CNTRL,ELP,7
20,2015,6,18,CNTRL,CKG,57
16,2016,6,18,CNTRL,CKG,135
7,2015,3,17,CNTRL,SFO,26
15,2017,4,18,CNTRL,CKG,76
36,2016,4,17,CNTRL,HOU,6
7,2018,1,17,CNTRL,HOU,18
46,2015,3,18,CNTRL,CKG,14
28,2017,8,18,CNTRL,CKG,73
10,2018,1,18,CNTRL,CKG,114
9,2014,10,18,CNTRL,CKG,95
11,2014,10,18,CNTRL,KUB,35
14,2015,7,18,CNTRL,KUB,67
8,2017,9,5,CNTRL,SDF,7
7,2016,8,18,CNTRL,CKG,245
16,2018,1,18,CNTRL,CKG,23
29,2017,6,18,CNTRL,CKG,62
8,2016,4,18,CNTRL,CKG,106
32,2015,4,17,CNTRL,SFO,7
11,2015,8,18,CNTRL,CKG,58
7,2015,10,18,CNTRL,KUB,2965
7,2018,1,7,CNTRL,PEN,4
7,2017,10,18,CNTRL,CKG,240
7,2015,7,18,CNTRL,CKG,201
24,2017,8,17,CNTRL,ELP,9
8,2017,1,17,CNTRL,ELP,112
25,2017,1,18,CNTRL,CKG,38
13,2016,12,18,CNTRL,CKG,67
7,2014,8,18,CNTRL,CKG,89
13,2017,11,18,CNTRL,CKG,105
10,2017,9,18,CNTRL,CKG,146
12,2016,12,18,CNTRL,CKG,62
18,2015,8,17,CNTRL,HOU,20
35,2017,10,18,CNTRL,CKG,57
33,2014,10,18,CNTRL,CKG,36
13,2015,12,18,CNTRL,CKG,107
24,2017,11,18,CNTRL,CKG,53
7,2017,5,18,CNTRL,CKG,159
14,2016,1,18,CNTRL,KUB,10
