ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
7,2015,9,18,CNTRL,CKG,111
13,2015,6,5,CNTRL,SIN,2
11,2015,3,5,CNTRL,SDF,573
43,2018,1,18,CNTRL,CKG,72
7,2017,1,18,CNTRL,CKG,120
11,2015,3,18,CNTRL,KUB,64
31,2015,2,18,CNTRL,KUB,6
7,2017,10,18,CNTRL,CKG,183
18,2017,11,18,CNTRL,CKG,77
9,2016,6,17,CNTRL,ELP,49
9,2017,7,18,CNTRL,CKG,273
17,2014,10,18,CNTRL,CKG,70
66,2017,2,5,CNTRL,SHA,3
19,2015,3,18,CNTRL,CKG,57
16,2016,6,18,CNTRL,CKG,82
24,2014,9,17,CNTRL,HOU,11
7,2016,9,18,CNTRL,CKG,627
20,2016,6,18,CNTRL,CKG,62
18,2016,11,17,CNTRL,HOU,6
14,2017,10,18,CNTRL,CKG,122
50,2015,4,17,CNTRL,HOU,2
16,2017,7,18,CNTRL,CKG,94
10,2015,1,18,CNTRL,CKG,138
14,2016,12,18,CNTRL,CKG,18
11,2018,2,18,CNTRL,CKG,51
26,2017,10,18,CNTRL,CKG,13
15,2017,12,18,CNTRL,CKG,18
8,2015,12,18,CNTRL,CKG,94
70,2017,3,18,CNTRL,CKG,47
12,2015,3,3,CNTRL,ONT,15
7,2017,1,17,CNTRL,ELP,152
7,2017,4,17,CNTRL,ELP,231
38,2016,8,18,CNTRL,KUB,4
7,2017,6,18,CNTRL,CKG,524
38,2017,7,18,CNTRL,CKG,43
15,2017,7,17,CNTRL,ELP,20
18,2016,12,18,CNTRL,CKG,658
39,2017,3,17,CNTRL,HOU,4
7,2017,8,18,CNTRL,CKG,176
7,2015,2,18,CNTRL,KUB,94
13,2017,7,18,CNTRL,CKG,174
10,2015,6,18,CNTRL,CKG,123
21,2017,3,18,CNTRL,CKG,54
11,2016,4,18,CNTRL,ELP,216
11,2017,5,18,CNTRL,CKG,146
11,2018,2,18,CNTRL,CKG,111
11,2014,12,18,CNTRL,CKG,70
10,2015,5,18,CNTRL,CKG,604
15,2018,2,18,CNTRL,CKG,66
8,2015,8,7,CNTRL,YYZ,2
10,2017,5,18,CNTRL,CKG,150
7,2015,5,7,CNTRL,YYZ,4
8,2014,11,17,CNTRL,HOU,40
9,2015,10,18,CNTRL,CKG,92
7,2014,9,5,CNTRL,AMS,57
44,2017,3,18,CNTRL,CKG,15
19,2016,12,18,CNTRL,CKG,73
16,2016,4,9,CNTRL,SGF,4899
11,2017,9,18,CNTRL,CKG,126
14,2015,4,18,CNTRL,CKG,51
10,2018,1,18,CNTRL,CKG,150
7,2017,6,18,CNTRL,CKG,181
7,2016,1,7,CNTRL,SEA,320
39,2015,3,17,CNTRL,HOU,7
12,2016,12,18,CNTRL,CKG,86
8,2017,6,17,CNTRL,ELP,159
27,2017,9,18,CNTRL,CKG,62
25,2016,1,18,CNTRL,CKG,47
19,2014,10,18,CNTRL,KUB,12
8,2015,9,18,CNTRL,KUB,114
9,2015,2,18,CNTRL,KUB,67
21,2016,6,18,CNTRL,HKG,3
8,2015,3,18,CNTRL,CKG,260
9,2016,1,18,CNTRL,CKG,91
17,2016,11,5,CNTRL,AMS,2
7,2017,10,18,CNTRL,CKG,240
16,2016,4,18,CNTRL,CKG,78
9,2017,11,17,CNTRL,HOU,15
29,2017,4,18,CNTRL,CKG,47
72,2017,8,18,CNTRL,CKG,26
7,2016,3,18,CNTRL,ELP,93
22,2016,1,18,CNTRL,CKG,74
7,2015,2,18,CNTRL,CKG,287
16,2015,9,18,CNTRL,KUB,69
37,2016,5,7,CNTRL,PHX,4
21,2015,10,18,CNTRL,CKG,66
7,2017,7,18,CNTRL,CKG,203
8,2014,12,18,CNTRL,CKG,340
22,2016,4,18,CNTRL,CKG,41
24,2016,1,7,CNTRL,YYZ,2
7,2016,11,17,CNTRL,ELP,99
9,2015,1,18,CNTRL,CKG,259
10,2014,11,17,CNTRL,SIN,1
64,2014,11,17,CNTRL,SFO,2
21,2016,10,18,CNTRL,CKG,36
7,2016,7,18,CNTRL,KUB,45
47,2017,12,18,CNTRL,CKG,34
10,2016,4,7,CNTRL,PEN,1
9,2016,10,17,CNTRL,HOU,24
16,2016,6,18,CNTRL,CKG,86
73,2016,6,18,CNTRL,CKG,32
14,2017,12,18,CNTRL,CKG,83
23,2015,5,18,CNTRL,CKG,28
14,2015,4,18,CNTRL,CKG,16
26,2017,12,18,CNTRL,CKG,77
42,2017,5,18,CNTRL,CKG,24
16,2017,12,18,CNTRL,CKG,145
13,2016,10,7,CNTRL,YYZ,2
28,2018,1,5,CNTRL,SHA,12
7,2014,8,18,CNTRL,CKG,106
13,2015,7,18,CNTRL,CKG,50
11,2017,1,18,CNTRL,CKG,80
25,2016,1,18,CNTRL,CKG,26
21,2017,6,18,CNTRL,CKG,124
16,2015,5,17,CNTRL,HOU,13
17,2017,5,18,CNTRL,CKG,56
25,2017,11,18,CNTRL,CKG,122
9,2016,9,18,CNTRL,CKG,143
16,2017,12,17,CNTRL,HOU,6
35,2014,12,18,CNTRL,CKG,17
35,2016,8,18,CNTRL,CKG,65
7,2015,4,18,CNTRL,KUB,49
8,2016,11,18,CNTRL,CKG,231
11,2017,5,18,CNTRL,CKG,105
10,2014,12,18,CNTRL,CKG,184
38,2015,3,17,CNTRL,HOU,13
25,2015,6,18,CNTRL,CKG,34
7,2015,3,18,CNTRL,KUB,126
12,2015,3,18,CNTRL,KUB,67
7,2015,4,18,CNTRL,KUB,54
11,2017,12,18,CNTRL,CKG,113
27,2016,9,18,CNTRL,CKG,47
7,2017,10,7,CNTRL,PHX,2072
7,2017,9,18,CNTRL,CKG,170
9,2015,10,5,CNTRL,SIN,5
45,2016,8,18,CNTRL,CKG,12
23,2016,4,18,CNTRL,KUB,5
44,2015,10,18,CNTRL,HKG,1
16,2015,6,17,CNTRL,HOU,31
54,2015,12,18,CNTRL,CKG,5
20,2017,11,18,CNTRL,CKG,57
11,2016,10,17,CNTRL,SFO,4
26,2016,3,18,CNTRL,CKG,11
28,2016,2,18,CNTRL,CKG,51
13,2015,9,7,CNTRL,YYZ,7
12,2014,10,18,CNTRL,CKG,2723
7,2017,5,18,CNTRL,CKG,148
25,2017,11,18,CNTRL,CKG,62
7,2014,8,5,CNTRL,AMS,20
25,2017,3,17,CNTRL,ELP,57
22,2015,10,17,CNTRL,HOU,11
55,2017,3,18,CNTRL,CKG,34
37,2017,8,18,CNTRL,CKG,50
7,2015,6,18,CNTRL,KUB,97
